ProjectID;RequirementText;Functions;Data;Behavior
1;The system shall refresh the display every 60 seconds.;0;0;1
1;The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts;1;0;1
1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;0;1;0
1;The system shall display Events in a vertical table by time.;1;0;0
1;The system shall display the Events in a graph by time.;1;0;0
1;The system shall display Events or Activities.;1;0;0
1;The top 1/4 of the table will hold events that are to occur sequentially.;0;1;0
1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;0;1;0
1;The system shall color code events according to their variance from current time.;1;0;0
1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;1;0;0
1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;1;0;0
1;The system shall allow modification of the display.;1;0;0
1;The system shall offer a display of all the Events in the exercise.;0;1;0
1;The system shall filter data by: Venues and Key Events.;1;0;0
1;The system shall allow a user to define the time segments;1;1;0
1;The system shall display the local and exercise time in separate clocks;1;1;0
1;The system shall offer the ability to pause and resume the refresh of data.;1;0;0
1;The system shall provide charts for the Activity or Event actual versus assumed time.;1;1;0
1;The system shall provide a history report of changes made to the Activity or Event data;1;1;0
2;The product shall produce search results in an acceptable time;1;0;0
2;The search results shall be returned no later 30 seconds after the user has entered the search criteria;0;0;1
2;The product shall generate a CMA report in an acceptable time.;1;0;0
2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;0;0;1
2;The product shall synchronize contacts and appointments in an acceptable time.;1;0;0
2;The product shall synchronize with the office system every hour.;0;0;1
2;The product shall allow the user to view previously downloaded search results CMA reports and appointments.;1;0;0
2;The product shall retain user preferences in the event of a failure.;0;1;1
2;100% of saved user preferences shall be restored when system comes back online.;0;1;1
2;The product shall be able to support multiple remote users;1;0;0
2;Every user of the system shall be authenticated and authorized.;1;0;0
2;The system shall allow a real estate agent to query MLS information;1;0;0
2;The user shall be able to get driving directions to a selected property;1;0;0
2;The user shall be able to download appointments and contact information for clients;1;0;0
2;The system shall display clear property images in the search results;0;1;0
2;The system shall update or create new property listings in the MLS;1;0;0
2;Realtor shall be able to generate a CMA report based on property criteria;1;0;0
2;The system shall be able to call the seller or buyer to schedule an appointment;1;0;0
2;The realtor shall be notified of new client appointments after automatic synchronization with office system;0;0;1
2;The realtor shall be able to retrieve a map showing property locations for a specified area;1;0;0
2;The system shall notify the realtor when a seller or buyer responds to an appointment request;0;0;1
2;The product shall allow the user to save the property search results.;1;0;0
3;2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.;1;0;0
3;The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.;1;0;0
3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;1;0;0
3;The system shall protect private information in accordance with the organization's information policy.;1;0;0
3;A cohort shall be associated to one Program of Study offered by the department.;0;1;0
3;Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort;1;0;0
3;Students added to a cohort shall be eligible for the cohort's Program of Study.;0;0;1
3;Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.;1;0;0
3;For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;1;1;0
3;Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.;1;0;0
3;Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.;1;0;0
3;Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study;1;0;0
3;The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.;1;0;0
3;The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.;0;1;0
3;Classes for a given cohort shall not conflict with regards to the time and day that they are offered.;0;0;1
3;Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.;1;0;0
3;Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.;1;0;0
3;The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.;1;0;0
3;The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.;1;0;0
3;Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.;1;0;1
3;A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.;1;0;0
3;A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.;1;0;0
3;The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.;1;1;0
3;The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).;1;1;0
3;The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.;1;1;0
3;The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.;1;1;0
3;The system shall be able to display a printable summary of the system log.;1;0;0
3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.;0;1;0
3;The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.;1;0;0
3;The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;0;0;1
3;The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.;0;0;1
3;The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.;0;0;1
3;The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).;0;0;1
3;The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.;0;0;1
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.;1;1;0
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.;1;1;0
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.;1;1;0
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.;1;1;0
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.;1;1;0
4;Only users with Update access must be able to initiate dispute requests.;1;0;0
4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.;1;0;0
4;All additions of new users and modifications to user's access shall be recorded on the User Report.;0;0;1
4;The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.;1;0;0
4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;0;1;0
4;All actions that modify an existing dispute case must be recorded in the case history.;0;0;1
4;The Disputes System shall provide update access capability for authorized users of the application.;1;0;0
4;The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.;1;0;0
4;The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.;1;0;0
4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;1;1;0
4;The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;1;1;0
4;The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.;1;0;1
4;The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information  the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.;1;1;1
4;The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;1;0;1
4;The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information  the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.;1;1;1
4;The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.;0;0;1
4;The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.;1;0;0
4;The Disputes System must provide the ability to view existing dispute cases.;1;0;0
4;The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.;1;1;0
4;A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.;1;0;0
4;The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.;1;0;0
4;The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.;1;0;1
4;The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.;1;0;1
4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;1;0;1
4;All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.;0;1;0
4;Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.;0;0;1
5;The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.;1;0;0
5;The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.;1;0;0
5;Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.;1;0;0
5;Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.;1;0;0
5;Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.;1;0;0
5;The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles;1;0;0
5;The system shall resolve the zipcode for the street address city and state if zipcode is unknown.;1;0;1
5;The system shall locate the preferred repair facility with the highest ratings for the input criteria;1;0;0
5;The adjuster shall enter the preferred repair facility on the estimate assignment.;1;0;0
5;The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.;1;0;0
5;The preferred repair facility shall be returned to the user.;1;0;0
5;The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.;0;0;1
5;The estimator shall search for available recycled parts using damaged vehicle parts information.;1;0;0
5;The estimator shall search for available recycled parts using a list of preferred parts suppliers.;1;0;0
5;The system shall search for available recycled parts for the supplied vehicle parts and suppliers.;1;0;0
5;The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers;0;0;1
5;The system shall retain the available recycled parts and suppliers returned from the search.;0;1;1
5;The available recycled parts information and their suppliers shall be returned to the user.;1;0;0
5;The estimator shall apply selected recycled parts to the collision estimate.;1;0;0
5;The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.;0;0;1
5;The adjuster shall review the collision estimate.;1;0;0
5;The adjuster shall request a recycled parts audit of the collision estimate.;1;0;0
5;The recycled parts search results provided to the estimator shall be retrieved by the system.;1;0;0
5;The system shall generate an audit report based on the available recycled parts and the collision estimate.;1;0;0
5;The audit report shall include the total number of recycled parts used in the estimate.;0;1;0
5;The audit report shall include the number of available recycled parts from the original search results.;0;1;0
5;The audit report shall include the percentage of available recycled parts used in the estimate ;0;1;0
5;The audit report shall include the total score of the audit which sums the indivual line items.;0;1;0
5;The audit report shall be displayed to the user.;1;0;0
5;The audit report shall be available to other adjusters at later points in time.;0;1;0
